county,office,district,candidate,party,votes,precinct
,U.S. House,31,Alyse Galvin,DEM,266,31-300
,U.S. House,31,Don Young,REP,581,31-300
,U.S. House,31,Write-ins,,6,31-300
,Governor,31,Mark Begich,DEM,193,31-300
,Governor,31,Mike Dunleavy,REP,631,31-300
,Governor,31,Billy Toien,LIB,24,31-300
,Governor,31,Bill Walker,,8,31-300
,Governor,31,Write-ins,,1,31-300
,State House,31,Paul Seaton,DEM,210,31-300
,State House,31,Sarah Vance,REP,631,31-300
,State House,31,Write-ins,,13,31-300
,U.S. House,31,Alyse Galvin,DEM,275,31-310
,U.S. House,31,Don Young,REP,189,31-310
,U.S. House,31,Write-ins,,0,31-310
,Governor,31,Mark Begich,DEM,257,31-310
,Governor,31,Mike Dunleavy,REP,196,31-310
,Governor,31,Billy Toien,LIB,11,31-310
,Governor,31,Bill Walker,,2,31-310
,Governor,31,Write-ins,,1,31-310
,State House,31,Paul Seaton,DEM,258,31-310
,State House,31,Sarah Vance,REP,205,31-310
,State House,31,Write-ins,,0,31-310
,U.S. House,31,Alyse Galvin,DEM,85,31-320
,U.S. House,31,Don Young,REP,119,31-320
,U.S. House,31,Write-ins,,3,31-320
,Governor,31,Mark Begich,DEM,81,31-320
,Governor,31,Mike Dunleavy,REP,112,31-320
,Governor,31,Billy Toien,LIB,7,31-320
,Governor,31,Bill Walker,,5,31-320
,Governor,31,Write-ins,,3,31-320
,State House,31,Paul Seaton,DEM,75,31-320
,State House,31,Sarah Vance,REP,133,31-320
,State House,31,Write-ins,,2,31-320
,U.S. House,31,Alyse Galvin,DEM,158,31-340
,U.S. House,31,Don Young,REP,429,31-340
,U.S. House,31,Write-ins,,8,31-340
,Governor,31,Mark Begich,DEM,132,31-340
,Governor,31,Mike Dunleavy,REP,438,31-340
,Governor,31,Billy Toien,LIB,15,31-340
,Governor,31,Bill Walker,,10,31-340
,Governor,31,Write-ins,,4,31-340
,State House,31,Paul Seaton,DEM,123,31-340
,State House,31,Sarah Vance,REP,438,31-340
,State House,31,Write-ins,,16,31-340
,U.S. House,31,Alyse Galvin,DEM,458,31-350
,U.S. House,31,Don Young,REP,447,31-350
,U.S. House,31,Write-ins,,4,31-350
,Governor,31,Mark Begich,DEM,426,31-350
,Governor,31,Mike Dunleavy,REP,443,31-350
,Governor,31,Billy Toien,LIB,22,31-350
,Governor,31,Bill Walker,,15,31-350
,Governor,31,Write-ins,,0,31-350
,State House,31,Paul Seaton,DEM,450,31-350
,State House,31,Sarah Vance,REP,449,31-350
,State House,31,Write-ins,,9,31-350
,U.S. House,31,Alyse Galvin,DEM,350,31-360
,U.S. House,31,Don Young,REP,347,31-360
,U.S. House,31,Write-ins,,4,31-360
,Governor,31,Mark Begich,DEM,316,31-360
,Governor,31,Mike Dunleavy,REP,368,31-360
,Governor,31,Billy Toien,LIB,12,31-360
,Governor,31,Bill Walker,,7,31-360
,Governor,31,Write-ins,,2,31-360
,State House,31,Paul Seaton,DEM,331,31-360
,State House,31,Sarah Vance,REP,368,31-360
,State House,31,Write-ins,,3,31-360
,U.S. House,31,Alyse Galvin,DEM,453,31-370
,U.S. House,31,Don Young,REP,314,31-370
,U.S. House,31,Write-ins,,3,31-370
,Governor,31,Mark Begich,DEM,441,31-370
,Governor,31,Mike Dunleavy,REP,305,31-370
,Governor,31,Billy Toien,LIB,15,31-370
,Governor,31,Bill Walker,,12,31-370
,Governor,31,Write-ins,,0,31-370
,State House,31,Paul Seaton,DEM,459,31-370
,State House,31,Sarah Vance,REP,314,31-370
,State House,31,Write-ins,,1,31-370
,U.S. House,31,Alyse Galvin,DEM,373,31-380
,U.S. House,31,Don Young,REP,629,31-380
,U.S. House,31,Write-ins,,11,31-380
,Governor,31,Mark Begich,DEM,330,31-380
,Governor,31,Mike Dunleavy,REP,632,31-380
,Governor,31,Billy Toien,LIB,31,31-380
,Governor,31,Bill Walker,,15,31-380
,Governor,31,Write-ins,,8,31-380
,State House,31,Paul Seaton,DEM,314,31-380
,State House,31,Sarah Vance,REP,678,31-380
,State House,31,Write-ins,,16,31-380
,U.S. House,31,Alyse Galvin,DEM,213,31-390
,U.S. House,31,Don Young,REP,339,31-390
,U.S. House,31,Write-ins,,3,31-390
,Governor,31,Mark Begich,DEM,175,31-390
,Governor,31,Mike Dunleavy,REP,361,31-390
,Governor,31,Billy Toien,LIB,17,31-390
,Governor,31,Bill Walker,,7,31-390
,Governor,31,Write-ins,,0,31-390
,State House,31,Paul Seaton,DEM,143,31-390
,State House,31,Sarah Vance,REP,405,31-390
,State House,31,Write-ins,,8,31-390
,U.S. House,31,Alyse Galvin,DEM,1638,Absentee
,U.S. House,31,Don Young,REP,1178,Absentee
,U.S. House,31,Write-ins,,7,Absentee
,Governor,31,Mark Begich,DEM,1560,Absentee
,Governor,31,Mike Dunleavy,REP,1130,Absentee
,Governor,31,Billy Toien,LIB,29,Absentee
,Governor,31,Bill Walker,,102,Absentee
,Governor,31,Write-ins,,3,Absentee
,State House,31,Paul Seaton,DEM,1596,Absentee
,State House,31,Sarah Vance,REP,1155,Absentee
,State House,31,Write-ins,,14,Absentee
,U.S. House,31,Alyse Galvin,DEM,146,Question
,U.S. House,31,Don Young,REP,162,Question
,U.S. House,31,Write-ins,,6,Question
,Governor,31,Mark Begich,DEM,130,Question
,Governor,31,Mike Dunleavy,REP,165,Question
,Governor,31,Billy Toien,LIB,14,Question
,Governor,31,Bill Walker,,9,Question
,Governor,31,Write-ins,,1,Question
,State House,31,Paul Seaton,DEM,77,Question
,State House,31,Sarah Vance,REP,123,Question
,State House,31,Write-ins,,2,Question
,U.S. House,31,Alyse Galvin,DEM,231,Early Voting
,U.S. House,31,Don Young,REP,317,Early Voting
,U.S. House,31,Write-ins,,10,Early Voting
,Governor,31,Mark Begich,DEM,210,Early Voting
,Governor,31,Mike Dunleavy,REP,333,Early Voting
,Governor,31,Billy Toien,LIB,8,Early Voting
,Governor,31,Bill Walker,,3,Early Voting
,Governor,31,Write-ins,,6,Early Voting
,State House,31,Paul Seaton,DEM,200,Early Voting
,State House,31,Sarah Vance,REP,344,Early Voting
,State House,31,Write-ins,,7,Early Voting
